title,primaryNo,mobileNo,address,locality,city
"Ogaan","(011) 41757301","(011) 41757302","Ogaan","Khan Market","Delhi"
"Ranna Gill","(011) 46060992","(011) 46060990-91","Ranna Gill","Vasant Kunj","Delhi"
"Ogaan","(011) 26967595","(011) 26853849","Ogaan","Hauz Khas Village","Delhi"
"Anmol","(011) 26886018","9810889169","Anmol","Sundar Nagar","Delhi"
"Aabaran","(011) 26025735","(011) 26025372","Aabaran","Kalkaji","Delhi"
"Da Milano","(011) 41757155","9953686360","Da Milano","Khan Market","Delhi"
"Daman Choli","(011) 26562265","(011) 26531488","Daman Choli","Green Park","Delhi"
"Aapki Pasand","(0120) 2797321","9891539444","Aapki Pasand","Turab Nagar","Ghaziabad"
"Nautica Store","(011) 46014011","(011) 46014010","Nautica Store","South Extension Part 2","Delhi"
"Touch Of Gold","(011) 26511696","9811636366","Touch Of Gold","Hauz Khas","Delhi"
"Iesha Health Club And Fashion House","(0120) 4371598","9350277276","Iesha Health Club And Fashion House","Vaishali","Ghaziabad"
"Kloset","(011) 26155657","(011) 26141113","Kloset","Vasant Vihar","Delhi"
"Manjusha Emporium","(011) 23843066","9312220161","Manjusha Emporium","Kamla Nagar","Delhi"
"Amaya Boutique Designer","(011) 26883150","9810610301","Amaya Boutique Designer","Chankyapuri","Delhi"
"Montblanc","(011) 23026131","(011) 23026132-3","Montblanc","Man Singh Road","Delhi"
"Ritu Kumar","(011) 45508041","(011) 45508042","Ritu Kumar","Raja Garden","Delhi"
"Ritu Kumar","(0124) 4058991","(0124) 4058992","Ritu Kumar","DLF City Phase 1","Gurgaon"
"Ritu Kumar","(011) 29236748","(011) 29231612","Ritu Kumar","Greater Kailash Part 1","Delhi"
"Ritu Kumar","(011) 22306015","(011) 22306016","Ritu Kumar","Shahdara","Delhi"
"Aarambh Boutique","(011) 47324380",,"Aarambh Boutique","Dwarka Sector 5","Delhi"
"Ogaan","(011) 24672429","(011) 24672420","Ogaan","Chanakya Puri","Delhi"
"Satya Paul","(011) 45633404",,"Satya Paul","Karol Bagh","Delhi"
"Archana Boutique","(0120) 2520740",,"Archana Boutique","Sector 27","Noida"
"Madbuban Creation","(0120) 3053545",,"Madbuban Creation","Sector 18","Noida"
"Pinki's Collection","(0120) 2534859","(0120) 2545470","Pinki's Collection","Noida Sector 27","Noida"
"Simar Fancy And General Store","(011) 26686003","(011) 26684919","Simar Fancy And General Store","Malviya Nagar","Delhi"
"Satya Paul","(011) 42225888","(011) 42225889","Satya Paul","Rajouri Garden","Delhi"
"Satya Paul","(011) 41552568","(011) 41552569","Satya Paul","Defence Colony","Delhi"
